ConvID,text,ratings
"(0, 6506)","Some Like It Hot. Genres: ['Comedy', 'Music', 'Romance']. Actors: ['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  ","[(-2, 0), (6506, 1.0)]"
"(0, 1717)","Greased Lightning. Genres: ['Action', 'Biography', 'Comedy', 'Drama', 'Sport']. Actors: ['Richard Pryor', 'Beau Bridges', 'Pam Grier'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  ","[(-2, 0), (1717, 0.0)]"
"(0, 987)","Psycho. Genres: ['Horror', 'Mystery', 'Thriller']. Actors: ['Anthony Perkins', 'Vera Miles', 'John Gavin'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  ","[(-2, 0), (987, 1.0)]"
"(0, 6400)","Meet Dave. Genres: ['Adventure', 'Comedy', 'Family', 'Romance', 'Sci-Fi']. Actors: ['Eddie Murphy', 'Elizabeth Banks', 'Gabrielle Union'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  ","[(-2, 0), (6400, 0.0)]"
"(1, 513)","Vertigo. Genres: ['Mystery', 'Romance', 'Thriller']. Actors: ['James Stewart', 'Kim Novak', 'Barbara Bel Geddes'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  R:: Hmm how old? Some Like It Hot (Comedy Music Romance) is a great one, have you seen that? Psycho (Horror Mystery Thriller) is another good one!  S:: Perfect movies Other??  ","[(-2, 2), (513, 1.0)]"
"(1, 6645)","My Girl 2. Genres: ['Comedy', 'Drama', 'Family', 'Romance']. Actors: ['Dan Aykroyd', 'Jamie Lee Curtis', 'Anna Chlumsky'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  R:: Hmm how old? Some Like It Hot (Comedy Music Romance) is a great one, have you seen that? Psycho (Horror Mystery Thriller) is another good one!  S:: Perfect movies Other??  ","[(-2, 2), (6645, 0.0)]"
"(2, 4403)","Casablanca. Genres: ['Drama', 'Romance', 'War']. Actors: ['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  R:: Hmm how old? Some Like It Hot (Comedy Music Romance) is a great one, have you seen that? Psycho (Horror Mystery Thriller) is another good one!  S:: Perfect movies Other??  R:: Have you seen Vertigo (Mystery Romance Thriller) ?  S:: What is it about?  ","[(-2, 3), (4403, 1.0)]"
"(2, 3297)","He Knows You're Alone. Genres: ['Horror', 'Thriller']. Actors: ['Don Scardino', ""Caitlin O'Heaney"", 'Elizabeth Kemp'] [SEP]  R:: Good evening, can I recommend some movies?  S:: Hi  R:: What genres do you enjoy?  S:: What can you help me see tonight? I like old movies  R:: Hmm how old? Some Like It Hot (Comedy Music Romance) is a great one, have you seen that? Psycho (Horror Mystery Thriller) is another good one!  S:: Perfect movies Other??  R:: Have you seen Vertigo (Mystery Romance Thriller) ?  S:: What is it about?  ","[(-2, 3), (3297, 0.0)]"
"(3, 1702)","Aladdin. Genres: ['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']. Actors: ['Scott Weinger', 'Robin Williams', 'Linda Larkin'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  ","[(-2, 0), (1702, 1.0)]"
"(3, 6636)","Kindergarten Cop. Genres: ['Comedy', 'Crime']. Actors: ['Arnold Schwarzenegger', 'Penelope Ann Miller', 'Pamela Reed'] [SEP]  R:: Hello What kind of movies do you like?  S:: My favorite movies are the kid movies. Like toy story and lion king Have you seen any new movies lately  ","[(-2, 0), (6636, 0.0)]"
